name,founded_at,first_funding_at,last_funding_at
Persollo,4/25/15 12:00 AM,7/2/15 12:00 AM,7/2/15 12:00 AM
OWL PERCEPTION,4/23/15 12:00 AM,9/1/15 12:00 AM,9/1/15 12:00 AM
Self-Letting.com,4/23/15 12:00 AM,4/30/15 12:00 AM,4/30/15 12:00 AM
PARONK Consulting LLC,4/21/15 12:00 AM,8/10/15 12:00 AM,8/10/15 12:00 AM
Bundled Bliss,4/21/15 12:00 AM,4/23/15 12:00 AM,4/23/15 12:00 AM
Small Business Funding Solutions,4/20/15 12:00 AM,7/27/15 12:00 AM,7/27/15 12:00 AM
Threatbutt,4/20/15 12:00 AM,4/28/15 12:00 AM,4/28/15 12:00 AM
Pack&Pack,4/17/15 12:00 AM,9/28/15 12:00 AM,9/28/15 12:00 AM
Social High,4/16/15 12:00 AM,5/28/15 12:00 AM,5/28/15 12:00 AM
diggidi,4/15/15 12:00 AM,5/17/15 12:00 AM,7/16/15 12:00 AM
Kriibs !,4/15/15 12:00 AM,4/15/15 12:00 AM,7/1/15 12:00 AM
Infinite Wealth Creations,4/15/15 12:00 AM,2/15/15 12:00 AM,2/15/15 12:00 AM
Shop and product,4/14/15 12:00 AM,11/29/15 12:00 AM,11/29/15 12:00 AM
Attest,4/14/15 12:00 AM,10/15/15 12:00 AM,10/15/15 12:00 AM
SportyDate,4/14/15 12:00 AM,3/1/15 12:00 AM,3/1/15 12:00 AM
Ananas,4/13/15 12:00 AM,11/18/15 12:00 AM,11/18/15 12:00 AM
iShippo,4/13/15 12:00 AM,7/16/15 12:00 AM,7/16/15 12:00 AM
"Bookie, Inc.",4/13/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Matricore,4/13/15 12:00 AM,3/31/15 12:00 AM,3/31/15 12:00 AM
Quickli,4/12/15 12:00 AM,9/28/15 12:00 AM,9/28/15 12:00 AM
Funteek,4/11/15 12:00 AM,9/29/15 12:00 AM,9/29/15 12:00 AM
Ziva Dynamics Inc.,4/11/15 12:00 AM,7/10/15 12:00 AM,9/14/15 12:00 AM
Everledger,4/10/15 12:00 AM,3/23/15 12:00 AM,3/23/15 12:00 AM
Peddle,4/9/15 12:00 AM,4/9/15 12:00 AM,8/6/15 12:00 AM
Getaway,4/9/15 12:00 AM,4/1/15 12:00 AM,4/1/15 12:00 AM
Nearable Technology Corp.,4/7/15 12:00 AM,8/13/15 12:00 AM,8/13/15 12:00 AM
BOMbids,4/7/15 12:00 AM,7/10/15 12:00 AM,7/10/15 12:00 AM
Lens,4/6/15 12:00 AM,4/6/15 12:00 AM,4/6/15 12:00 AM
CYTIoT,4/4/15 12:00 AM,9/7/15 12:00 AM,9/7/15 12:00 AM
Parabola,4/3/15 12:00 AM,4/3/15 12:00 AM,4/3/15 12:00 AM
Energy Assets Develoopment,4/3/15 12:00 AM,2/15/15 12:00 AM,2/15/15 12:00 AM
Curve,4/2/15 12:00 AM,6/30/15 12:00 AM,6/30/15 12:00 AM
Pacific Atlantic Equity Group,4/2/15 12:00 AM,4/2/15 12:00 AM,4/2/15 12:00 AM
HireTeamMate,4/2/15 12:00 AM,4/1/15 12:00 AM,4/2/15 12:00 AM
NextRnR,4/2/15 12:00 AM,10/10/14 12:00 AM,2/8/15 12:00 AM
Stampery,4/1/15 12:00 AM,11/18/15 12:00 AM,11/18/15 12:00 AM
ByeBuy,4/1/15 12:00 AM,11/3/15 12:00 AM,11/3/15 12:00 AM
Reforged Studios,4/1/15 12:00 AM,10/27/15 12:00 AM,10/27/15 12:00 AM
Hopsy,4/1/15 12:00 AM,9/30/15 12:00 AM,9/30/15 12:00 AM
Replimune,4/1/15 12:00 AM,9/24/15 12:00 AM,9/24/15 12:00 AM
Allset,4/1/15 12:00 AM,9/22/15 12:00 AM,9/22/15 12:00 AM
Hyper,4/1/15 12:00 AM,8/26/15 12:00 AM,8/26/15 12:00 AM
Cuberon,4/1/15 12:00 AM,8/15/15 12:00 AM,8/15/15 12:00 AM
Synap,4/1/15 12:00 AM,8/14/15 12:00 AM,8/14/15 12:00 AM
JustRide,4/1/15 12:00 AM,8/4/15 12:00 AM,11/27/15 12:00 AM
Verecho Inc.,4/1/15 12:00 AM,7/31/15 12:00 AM,7/31/15 12:00 AM
Cartisan,4/1/15 12:00 AM,7/30/15 12:00 AM,7/30/15 12:00 AM
MessageUs,4/1/15 12:00 AM,7/27/15 12:00 AM,7/27/15 12:00 AM
